27.5	pass	getLTCGBracketRoom: returns 0% bracket room for MFJ below ceiling
1.5	pass	getLTCGBracketRoom: returns 0 when ordinary income exceeds 0% ceiling
11.7	pass	IRMAA: charges from year 0, not year 1 (fixed magiHistory seeding bug)
4.3	pass	cyclicEnabled=false: output identical to base run (regression)
2.2	pass	cyclicEnabled: subCycle column present in log rows
1.3	pass	cyclicEnabled: year 0 is IRA year (IRA), not brokerage year
1.1	pass	cyclicEnabled: brokerage year (year N) draws from Brokerage, not IRA (beyond RMDs)
0.9	pass	cyclicEnabled: brokerage year maxes out target LTCG bracket even when spend need is small
1.6	pass	cyclicEnabled: cycleLTCGTarget=0.20 (target 15% bracket) harvests more than default 0.15 target
1.1	pass	cyclicEnabled: DRIP forced — dividends flow to Brokerage not Cash (positive dividend rate)
1.6	pass	cyclicEnabled: surplus reinvested into Brokerage (not Cash) in IRA years
6.4	pass	P32c: cycleHarvestMode/cycleCoexist absent ≡ off → byte-identical log (two scenarios)
1.7	pass	P32c: cycleCoexist without cyclicEnabled is inert (leak guard)
3.1	pass	P32c: cycleCoexist bracketfill — harvest years regain the IRA draw and conversions
4.6	pass	P32c: cycleCoexist MAGI ceiling (IRMAA tier) — coexist must not push a harvest year into a higher tier
2.5	pass	P32c: cycleHarvestMode spendonly harvests no more than maxbracket
11.7	pass	P32h: absent thirdPassBrokerage ≡ bounded (the shipped default); off stays reachable
2.4	pass	P32c: thirdPassBrokerage bounded draws Brokerage in the third pass, within its cap
2.6	pass	P32c: thirdPassBrokerage — stalls are counted separately from cap hits (the Q2 signal)
2.2	pass	P32c: thirdPassBrokerage is inert for Ordered (it runs the user sequence in this pass)
2.1	pass	P32c: forcedIRAAllowBrokerage brokerageFirst spends Brokerage before forcing IRA
2.6	pass	P32c: forcedIRAAllowBrokerage keeps the backstop alive after the IRA empties
3.0	pass	P51b: oracleWithdrawalPlan absent / null entries / all-zero entries → byte-identical log
0.3	pass	P51b: oracleWithdrawalPlan + cyclicEnabled is an explicit error, not a precedence rule
2.1	pass	P51b: an IRA-only year draws IRA, not Brokerage; spill covers the rest of the horizon
0.9	pass	P35n: oracleWithdrawalPlan {seq} entry — strict sequence, IRA-last is a true backstop
1.0	pass	P35n: oracleWithdrawalPlan {prop} entry — balance-proportional over Brok/Cash/Roth, IRA excluded
1.9	pass	P51b: fidelity — replaying a run's own realized draw fractions lands near its score
32.7	pass	P104b1: replay identity - split with V equals propwd 0 + oracleWithdrawalPlan.fill(V), to the dollar
11.3	pass	P104b1: a malformed or absent vector runs as the baseline draw, byte-identical, and is flagged
1.0	pass	★ CRITICAL  P104b1x: a year funded from Cash by the primary pass is not funded again by the gap fill
5.1	pass	★ CRITICAL  P104b1x: Proportional +0% with Max Conversion on converts nothing while the phantom gap would have
5.9	pass	11.1702: the log reports the reserve held each year - min(target in nominal $, Cash) - and 0 when Off
2.6	pass	11.1703: Brokerage reconciles on screen - last year minus Brokerage- plus brokerageG plus SurplusBrok
1.7	pass	P104b1: split composes with cyclic the way propwd does - no throw, harvest years draw Brokerage
0.8	pass	P104b1: the split binds the gap fill too, not only the primary draw
2.2	pass	timing: the default mode is Split, and it reads conversion/withdrawal
1.9	pass	timing: a year that converts nothing reports none, and spends when the mode says
1.2	pass	★ CRITICAL  timing: a conversion does not change the FOLLOWING year, which is what the old rule got wrong
0.9	pass	timing: the conversion half tracks whether the year actually converted
1.0	pass	timing: every row carries a well-formed conversion/withdrawal label
0.9	pass	wdRate%: equals netOut ÷ prior-year portfolio balance
1.0	pass	wdRate%: denominator is the raw portfolio, not tax-discounted totalNetWealth
0.6	pass	wdRate%: never negative, even when SS exceeds the spending goal
1.2	pass	outflows: reconciliation — netOut = grossOut − rothConv − reinvestedSurplus
1.7	pass	wdRate%: a pension shows up in inflows only, never in the numerator
1.5	pass	avgWdRate: simple mean of the yearly rates, including year 0
0.7	pass	avgWdRateWeighted: equals Σ netOut ÷ Σ prior-year portfolio
1.2	pass	avgNetDepletion: negative when the portfolio outgrows withdrawals, positive when it shrinks
5.6	pass	GK: guardrail rate reads the same prevPortfolio the withdrawal rate uses
6.2	pass	Guardrails: without the ceiling, prosperity raises lift spending above the plan's own shape
7.5	pass	Guardrails: the shape ceiling holds spending at the plan's own shape, and pays for it in spending
3.5	pass	Guardrails: the shape ceiling only ever follows a raise, and changes nothing before it binds
3.3	pass	P127: the inflation raise is capped at 6%, and below the cap it is the full inflation
8.2	pass	P127: the freeze after a losing year reads the portfolio's return, not the market's
0.3	pass	P127: the portfolio return is the balance-weighted return of the accounts, dividends included
9.6	pass	P127: no cut in the plan's last 8 years, and a year the rule wanted one says so
6.5	pass	★ CRITICAL  P132j: GK-style never cuts in the year Social Security starts, and never adjusts a plan on its own path
0.3	pass	P127b: the stability floor judges spending against the plan's own path, not year 1
34.2	pass	P127b: a Guardrails plan with a declining Spend Delta gets an Optimize Spend answer again
109.5	pass	P127f: converting nothing is always admissible, so the search never ends poorer than $0
0.2	pass	afterTaxNetWorth: Roth/Cash/basis at face; brokerage gains × (1−capG); IRA × (1−futureRate)
0.0	pass	afterTaxNetWorth: zero gains and zero rates → plain sum of balances
1.2	pass	simulate: exposes totals.terminal breakdown + totals.capGainsRate
0.4	pass	totalNetWealth: IRA discounted by ordinary rate, terminal brokerage at face after the 1014 step-up
0.1	pass	P35g: every TAXData jurisdiction declares a BasisStepUp of 0.50 or 1.00
4.1	pass	P35g: first death steps basis up by half in a common-law state
7.0	pass	P35g: community property steps the whole account up at the first death
1.0	pass	P35g: a single filer gets the terminal step-up but never a mid-plan one
1.7	pass	P35g: basis rises exactly twice - once per death, never per year
2.0	pass	P35g: terminal valuation is stepped up and both pre-step-up bases are preserved
4.1	pass	P35g: the correction favors NOT converting - the one-sided bias it removes
1.0	pass	P35f: BrokerageBasis never exceeds Brokerage, including through a market crash
0.8	pass	no-conversion run: zero Roth conversions over the whole plan
0.0	pass	baseline metric: higher after-tax NW ranks a richer terminal portfolio higher
2.1	pass	GK stable market: no guardrail triggers in early years with zero growth/inflation
1.0	pass	GK capital preservation: catastrophic bear market triggers CP cut
0.6	pass	GK prosperity rule: strong bull market triggers prosperity raise
1.6	pass	GK inflation skip: mild negative return + WR > IWR skips CPI adjustment
0.7	pass	GK regression: with Guardrails off, ruleSpend/ruleAdj are null
1.6	pass	P126: Guardrails fill the ruleSpend/ruleAdj columns under a non-proportional draw too
